,0
0,Alabama
1,Alaska
2,Arkansas
3,Colorado
4,Connecticut
5,Delaware
6,Florida
7,Hawaii
8,Idaho
9,Illinois
10,Indiana
11,Kentucky
12,Louisiana
13,Maine
14,Maryland
15,Massachusetts
16,Michigan
17,Minnesota
18,Mississippi
19,Missouri
20,Montana
21,Nebraska
22,New Hampshire
23,New Jersey
24,New York
25,North Carolina
26,North Dakota
27,Oklahoma
28,Pennsylvania
29,Rhode Island
30,South Dakota
31,Tennessee
32,Texas
33,Vermont
34,Virginia
35,West Virginia
36,Wisconsin
37,Wyoming
